position,token,token_length,frequency
0,ប្រាសាទអង្គរវត្ត,16,6
1,ឬប្រាសាទអង្គរតូចមានទីតាំងស្ថិតនៅភាគខាងជើងនៃក្រុងសៀមរាបនៃខេត្តសៀមរាប។,68,1
2,ប្រាសាទអង្គរវត្តជាប្រាសាទព្រហ្មញ្ញសាសនាធំបំផុត,46,1
3,និងជាវិមានសាសនាដ៏ធំបំផុតនៅក្នុងលោក។,35,1
4,ប្រាសាទនេះត្រូវបានកសាងឡើងដោយព្រះបាទសូរ្យវរ្ម័នទី,48,1
5,២,1,20
6,ដែលជាស្នាដៃដ៏ធំអស្ចារ្យ,23,1
7,និងមានឈ្មោះល្បីល្បាញរន្ទឺសុះសាយទៅគ្រប់ទិសទីលើពិភពលោក។,53,1
8,ប្រាសាទនេះសាងសង់ឡើងនៅដើមសតវត្សទី,32,1
9,១២,2,13
10,ដែលស្ថិតនៅក្នុងរាជធានី,22,1
11,។,1,68
12,តាមវចនានុក្រមគឺវាបានមកពី,24,1
13,នគរវត្ត,7,1
14,ជាឈ្មោះប្រាសាទបុរាណមួយកន្លែងនៅក្នុងខេត្តសៀមរាប,46,1
15,ជាមហាមន្ទីររុងរឿងដោយលំអគ្មានពីរ,31,1
16,ហៅក្លាយមកជាអង្គរវត្ត,20,1
17,។,1,68
18,ពាក្យ,5,2
19,នគរនេះច្រើនតែមានសំឡេងក្លាយឃ្លាតជាអង្គរដូច្នេះឯង,47,1
20,ដូចជានគរបាល,11,1
21,នគរបុរី,7,1
22,នគរយមរាជ,8,1
23,នគរវត្តក្លាយជាអង្គរបាល,22,1
24,អង្គរបុរី,9,1
25,អង្គរជមរាជ,10,1
26,អង្គរត្តជាដើម។,14,1
27,ប្រាសាទអង្គរវត្តមានឈ្មោះដើមថា,29,2
28,បរមវិស្ណុលោក,12,4
29,។,1,68
30,ការវិវត្តនៃឈ្មោះ,16,1
31,អង្គរវត្ត,9,4
32,នេះអាចត្រូវបានគេយកមកប្រើតាមប្រវត្តិសាស្ត្រ។,43,1
33,តាមសិលាចារឹកនៅសតវត្សទី,22,1
34,១៦,2,7
35,បញ្ជាក់ថា,9,1
36,ឈ្មោះប្រាសាទអង្គរវត្តគឺ,23,1
37,ព្រះមហានគរឥន្ទ្រប្រ័ស្ថព្រះពិស្ណុលោក។,37,1
38,ពាក្យ,5,2
39,ឥន្ទ្រប្រ័ស្ថ,13,2
40,មានន័យថា,8,2
41,ទីក្រុងរបស់ព្រះឥន្ទ្រ,21,1
42,។,1,68
43,មួយចំណែកទៀតនៅសតវត្សរ៍ទី,23,1
44,១៧,2,2
45,ត្រូវបានគេហៅថា,14,1
46,ឥន្ទបត្តម្ភានគរស្រីសុធរវពិស្ណុលោក។,34,1
47,បើតាមវចនានុក្រមសម្តេចសង្ឃរាជ,28,1
48,ជួន,3,1
49,ណាតពាក្ថាយ,10,1
50,ឥន្ទបត្ត,8,2
51,ឬ,1,3
52,ឥន្ទ្រប្រ័ស្ថ,13,2
53,នេះមានសេចក្ដីពន្យល់ដូចតទៅ៖,26,1
54,ឈ្មោះក្រុងមួយក្នុងប្រទេសឥណ្ឌាសម័យត្រង់កន្លែងក្រុងទេល្ហីសព្វថ្ងៃនេះ។,67,1
55,ប្រជាជនខ្មែរ,12,1
56,សម័យមហានគរ,10,1
57,ប្រើពាក្យនេះជាវិសេសនាមឬជាគោរមនៃក្រុមមហានគរ,42,1
58,ច្រើនប្រើក្នុងព្រះបរមរាជសាសន៍,29,1
59,ឬព្រះបរមរាជឱង្ការ,17,1
60,ថា,2,1
61,ព្រះបាទសម្តេចព្រះរាជឱង្ការបរមបពិត្រកម្ពុជាធិបតីស្រីឥន្រ្ទប្រ័ស្ថបុរីរ័ត្នរាជធានី,80,1
62,ប្រើពាក្យនេះតាំងអំពីបានព្រះខ័នរាជ្យ,35,1
63,ដែលមានសេចក្ដីតំណាលថា,20,1
64,ព្រះឥន្រ្ទយកមកប្រទានទុកជាកេរ្តិ៍ជាសស្រ្តាដ៏វិសេសសម្រាប់កម្ពុជារដ្ឋ។,67,1
65,ចំពោះប្រជាជនខ្មែរជាពិសេសអ្នករស់នៅខេត្តសៀមរាបច្រើននិយមហៅឈ្មោះរួមមួយថា,68,1
66,អង្គរតូច។,9,2
67,ទោះបីជាយ៉ាងណាក៏ដោយ,18,2
68,អ្នកនិពន្ធនៅលើពិភពលោកទាំងអស់បានកំណត់ហៅឈ្មោះរួមមួយថា,51,1
69,អង្គរវត្ត,9,4
70,រហូតមកដល់បច្ចុប្បន្ន។,21,1
71,ឈ្មោះសម័យថ្មី,13,1
72,អង្គរវត្តមានន័យថា,17,1
73,ទីក្រុងវត្ត,11,1
74,ក្នុងភាសាខ្មែរ,14,1
75,អង្គរមានន័យថា,13,1
76,ទីក្រុង,7,1
77,រឺ,2,13
78,ទីក្រុងធានី,11,1
79,ជាទម្រង់ប្រាក្រឹតនៃពាក្យ,24,1
80,នគរ,3,1
81,ដែលមកពីពាក្យភាសាសំស្ក្រឹត,25,1
82,nagara,6,1
83,नगर,3,1
84,។,1,68
85,វត្តគឺជាពាក្យខ្មែរសម្រាប់,25,1
86,ទេវាល័យលើដី,11,1
87,បានមកពីពាក្យបាលី,16,1
88,vatta,5,1
89,वत्त,4,1
90,។,1,68
91,មុនពេលនេះ,9,1
92,ប្រាសាទនេះត្រូវបានគេស្គាល់ថាជា,30,1
93,បរមវិស្ណុលោក,12,4
94,Parama,6,1
95,Vishnuloka,10,1
96,ជាភាសាសំស្ក្រឹត,15,1
97,បន្ទាប់ពីងារបច្ឆាមរណៈនៃស្ថាបនិកនៃប្រាសាទ។,41,1
98,។,1,68
99,អត្តបទសិលារឹកនគរវត្តភាគច្រើនបង្ហាញថា,36,1
100,អ្នកស្រុកនៅចង់ចាំបាននៅឡើយនៅឈ្មោះដើមរបស់ប្រាសាទនេះ,49,1
101,ដោយគេហៅថាស្ថានព្រះវិស្ណុលោក,27,1
102,ឬមហាវិស្ណុលោក។,14,1
103,ឈ្មោះនេះមានន័យមិនខុសពីឈ្មោះដើមថា,32,1
104,បរមវិស្ណុលោកនោះទេ។,18,1
105,ប្រាសាទអង្គរវត្តបានសាងសង់,25,1
106,នៅដើមសតវត្សរ៍ទី,15,1
107,១២,2,13
108,ដោយព្រះបាទសូរ្យវរ្ម័នទី,23,1
109,២,1,20
110,ខ្លះសរសេរ,9,1
111,ព្រះបាទសូរិយាវរ្ម័នទី,21,1
112,២,1,20
113,១១១៣,4,2
114,១១៥០,4,2
115,ដើម្បីឧទ្ទិសថ្វាយព្រះវិស្ណុ,27,1
116,ក្នុងព្រហ្មញ្ញសាសនា។,20,1
117,ក្នុងនោះផងដែរ,13,1
118,ប្រាសាទនេះមានលក្ខណៈល្អវិចិត្រ,29,1
119,និងបង្ហាញនូវសិល្បៈខ្មែរដ៏អស្ចារ្យដល់កំពូល,41,1
120,។,1,68
121,បើតាមលោកហ្សក,12,1
122,សឺដែស,5,1
123,ប្រាសាទអង្គរវត្តគឺតំណាងឲ្យពិភពលោក។,34,1
124,ប្រាង្គកណ្តាលតំណាងឲ្យភ្នំព្រះសុមេរុដែលស្ថិតនៅកណ្តាលពិភពលោក។,59,1
125,ប្រាង្គទាំង,11,1
126,៥,1,8
127,តំណាងឲ្យកំពូលភ្នំព្រះសុមេរុដែលជាជាយផែនដី,40,1
128,និងគូទឹកព័ទ្ធជុំវិញប្រាសាទគឺ,28,1
129,ជាសមុទ្រដែលព័ទ្ធជុំវិញ។,23,1
130,ប្រាសាទអង្គរវត្តមានឈ្មោះដើមថា,29,2
131,ប្រាសាទបរមវិស្ណុលោក។,20,1
132,ប៉ុន្តែការវិវត្តនៃឈ្មោះអង្គរវត្តនេះ,35,1
133,អាចត្រូវបានគេយកតាមប្រវត្តិសាស្រ្ត។,34,1
134,ស្លាកស្នាមដំបូងគឺ,17,1
135,មាននៅសតវត្សរ៍ទី,15,1
136,១៦,2,7
137,។,1,68
138,ជាការពិតណាស់ប្រាសាទនេះបាន,25,1
139,ក្លាយទៅជា,9,1
140,កន្លែងពុទ្ធសាសនាដ៏ល្បីល្បាញមួយ។,31,1
141,តាមសិលាចារឹកនៅសតវត្សរ៍ទី,24,1
142,១៦,2,7
143,ឈ្មោះនៃប្រាសាទអង្គរវត្តគឺ,25,1
144,ព្រះមហានគរឥន្រ្ទប្រត្ថព្រះពិស្ណុលោក,35,1
145,ឥន្រ្ទប្រត្ថ,12,1
146,ជាភាសាសំស្រ្កឹត,15,1
147,ហើយបានក្លាយទៅជាភាសាបាលី,23,1
148,ឥន្ទបត្ត,8,2
149,បញ្ជាក់ទៅលើការឆ្លងពីព្រហ្មញ្ញសាសនា,34,1
150,ទៅព្រះពុទ្ធសាសនាហីនយាន។,23,1
151,ពាក្យឥន្រ្ទប្រត្ថ,17,1
152,មានន័យថា,8,2
153,ទីក្រុងរបស់ព្រះឥន្ទ,19,1
154,។,1,68
155,ក្នុងព្រហ្មញ្ញសាសនា,19,1
156,គេជឿថាព្រះឥន្ទមានទីកន្លែងនៅលើដី។,32,1
157,ពាក្យនេះជាកន្លែងសម្រាប់,23,1
158,គោរពបូជា។,9,1
159,ឧទាហរណ៍ដូចជា,12,1
160,វត្តទាំងពីរនៅក្នុង,18,1
161,ប្រាសាទអង្គរវត្តមានឈ្មោះថា,26,1
162,ឥន្ទបត្តបុរីខាងត្បូង,20,1
163,និង,3,44
164,ឥន្ទបត្តបុរីខាងជើង,18,1
165,។,1,68
166,ការហៅទៅលើឈ្មោះថា,16,1
167,ពិស្ណុលោក,9,1
168,គឺសម្រាប់រំលឹកទៅដល់,19,1
169,មរណៈនាមរបស់ស្តេច,16,1
170,ដែលបានកសាងប្រាសាទនេះ,20,1
171,គឺ,2,3
172,បរមវិស្ណុលោក,12,4
173,រីឯ,3,1
174,ស្រីសុធរ,8,1
175,ជាការហៅដើម្បីរំលឹកឡើងវិញ,24,1
176,ទៅលើឈ្មោះទីក្រុងចាស់នៅអង្គរ,27,1
177,ឈ្មោះថា,7,1
178,ស្រីយសោធរបុរៈ,13,1
179,។,1,68
180,ហើយមួយចំណែកទៀតនៅសតវត្យរ៍ទី,26,1
181,១៧,2,2
182,ហៅថាឥន្ទបត្តម្ភានគរ,19,1
183,ស្រីសុធរវពិស្ណុលោក,18,1
184,។,1,68
185,ចំណែកឈ្មោះថាអង្គរវត្ត,21,1
186,គឺជាឈ្មោះសាមញ្ញសម្រាប់កំណត់បូជនីយដ្ឋាននេះ។,42,1
187,ចំពោះប្រជាជនខ្មែរ,17,1
188,ពិសេសអ្នករស់នៅខេត្តសៀមរាប,25,1
189,ច្រើនហៅឈ្មោះរួមមួយគឺ,20,1
190,អង្គរតូច។,9,2
191,ទោះបីជាយ៉ាងណាក៏ដោយ,18,2
192,អ្នកនិពន្ធអឺរ៉ុប,16,1
193,ទាំងអស់បានកំណត់ហៅឈ្មោះរួមមួយគឺអង្គរវត្តដែរ។ប្រាសាទអង្គរវត្តត្រូវបានបញ្ចូលទៅក្នុងបញ្ជីបេតិកភណ្ឌពិភពលោករបស់អង្គការយូណេស្កូ,120,1
194,នៅឆ្នាំ,7,6
195,១៩៩២,4,3
196,។,1,68
197,ប្រាសាទអង្គរវត្តត្រូវបានរកឃើញឡើងវិញដោយ,38,1
198,ធម្មជាតិវិទូបារាំងលោក,21,1
199,អង់ហ៊្រី,8,2
200,មូហ៊ត,5,2
201,Henri,5,3
202,Mouhot,6,3
203,នៅឆ្នាំ,7,6
204,១៨៦០,4,3
205,។,1,68
206,ព្រះបាទសូរ្យវរ្ម័នទី,20,1
207,២,1,20
208,អ្នកកសាងអង្គរវត្ត,17,1
209,អង្គរវត្តសណ្ដូកទៅភាគខាងជើង,26,1
210,5,1,2
211,5,1,2
212,kiloម៉ែត្រs,11,1
213,3,1,3
214,4,1,2
215,mi,2,1
216,នៃទីប្រជុំជនសម័យទំនើបសៀមរាប,27,1
217,និងទិសខាងត្បូងចម្ងាយខ្លី,24,1
218,និងខាងកើតបន្តិចនៃរាជធានីពីមុននេះ,32,1
219,ដែលស្ថិតនៅបាពួន។,16,1
220,វាគឺជាតំបន់របស់កម្ពុជាមួយ,25,1
221,ដែលមានក្រុមរចនាសម្ព័ន្ធសំណង់សំខាន់ៗ។,36,1
222,ស្ថិតនៅខាងត្បូងបំផុតនៃស្ថានីយសំខាន់ៗរបស់អង្គរ។ការរចនាដើមដំបូង,61,1
223,និងសំណង់ប្រាសាទបានធ្វើឡើងនៅពាក់កណ្ដាលទីមួយនៃសតវត្សទី,52,1
224,១២,2,13
225,កំឡុងរជ្ជកាលព្រះសូរ្យវរ្ម័នទី,29,1
226,២,1,20
227,បានសោយរាជ្យ,11,1
228,១១១៣,4,2
229,រ,1,1
230,១១៥០,4,2
231,។,1,68
232,ឧទ្ទិសដល់ព្រះវិស្ណុ,19,1
233,ត្រូវបានសាងឡើងជាប្រាសាទភាវៈតំណាងព្រះមហាក្សត្រនិងទីក្រុងរាជធានី។,63,1
234,មិនថាសិលាចារឹកការស្ថាបនា,24,1
235,រឺក៏អក្សរចារឹកសហសម័យមួយណាដែលបញ្ជាក់អំពីប្រាសាទនេះត្រូវបានគេរកឃើញទេ,66,1
236,ឈ្មោះដើមរបស់ប្រាសាទមិនត្រូវបានគេស្គាល់,38,1
237,ប៉ុន្តែវាប្រហែលជាត្រូវបានស្គាល់ថាជា,35,1
238,បរមវិស្ណុលោក,12,4
239,ន័យចំ,5,1
240,ស្ថានព្រះវិស្ណុដ៏ពិសិដ្ឋ,24,1
241,ខ្មែរបុរាណ,10,1
242,អះ,2,1
243,សំស្ក្រឹត,9,1
244,បន្ទាប់ពីទេវៈជាប្រមុខ។,22,1
245,ការដំណើរការហាក់បីដូចបញ្ចប់មួយរយៈពេលខ្លី,39,1
246,ក្រោយការសោយទីវង្គតរបស់ព្រះមហាក្សត្រ,35,1
247,ដែលបន្សល់ទុកខ្លះនូវការតុបតែងលំអចម្លាក់លៀនស្រាលៗមិនទាន់បានបញ្ចប់។,64,1
248,នៅឆ្នាំ,7,6
249,១១៧៧,4,1
250,ប្រហែលជា,8,1
251,២៧,2,2
252,ឆ្នាំបន្ទាប់ពីការសោយទីវង្គតរបស់ព្រះសូរ្យវរ្ម័នទី,48,1
253,២,1,20
254,អង្គរត្រូវបានលួចប្លន់បំផ្លិចបំផ្លាញដោយពួកចាម,44,1
255,សត្រូវជាប្រពៃណីរបស់ខ្មែរ។,25,1
256,ក្រោយមក,7,1
257,ចក្រភពនេះត្រូវបានស្ដារដោយព្រះមហាក្សត្រថ្មី,42,1
258,ជ័យវរ្ម័នទី,11,1
259,៧,1,3
260,ដែលបានស្ថាបនារាជធានីថ្មីនិងប្រាសាទភាវៈតំណាង,43,1
261,អង្គរធំ,7,1
262,និងបាយ័នរៀងៗគ្នា,16,1
263,ពីរបីសហាតិមាត្រទៅទិសខាងជើងនេះ។,30,1
264,នៅចុងសតវត្សទី,13,1
265,១៣,2,6
266,អង្គរវត្តបន្តិចម្ដងៗបានប្រែពីការប្រើជាប្រយោជន៍ព្រហ្មញ្ញសាសនាទៅជាប្រយោជន៍ពុទ្ធសាសនាថេរវាទ,88,1
267,ដែលបន្តមកដល់សម័យបច្ចុប្បន្ននេះ។,31,1
268,អង្គរវត្តគឺមិនធម្មតាចំណោមប្រាសាទសម័យអង្គរនានាក្នុងនោះ,53,1
269,ទោះបីជាវាគឺជាអ្វីមួយត្រូវបានគេទុកចោលបន្ទាប់ពីសតវត្សទី,53,1
270,១៦,2,7
271,ប្រាសាទនេះមិនដែលត្រូវបានគេបោះបង់ចោលទាំងស្រុងឡើយ,47,1
272,ការការពាររបស់ប្រាសាទកំពុងឈានមកដល់,33,1
273,ម្យ៉ាងដោយការពិតថាគូទឹករបស់វាក៏បានផ្ដល់ការគាំពារខ្លះពីការដុះស៊ប់ទ្រប់ដោយព្រៃស្បាតផងដែរ។,86,1
274,ម្នាក់ក្នុងចំណោមពួកអ្នកទេសចរណ៍លោកខាងលិចទៅកាន់ប្រាសាទនេះគឺ,57,1
275,អន់តូន្យូ,9,1
276,ដា,2,1
277,ម៉ាដឹឡេណា,9,1
278,សង្ឃជាតិព័រទុយហ្គាល់មួយអង្គ,27,1
279,ដែលបានទៅលេងនៅឆ្នាំ,18,1
280,១៥៨៦,4,1
281,និងបាននិយាយថាវា,15,1
282,គឺដូចជាសំណង់មិនធម្មតាដែលមិនអាចពិពណ៌នាវាជាមួយប៊ិចបាន,51,1
283,ជាពិសេស,7,1
284,ដោយហេតុថាវាហាក់ដូចជាគ្មានសំណង់ផ្សេងណាដូចនៅក្នុងលោក។,51,1
285,វាមានប្រាង្គច្រើននិងការតុបតែង,29,1
286,ហើយការធ្វើឱ្យល្អឡើងទាំងអស់ដែលទេពកោសល្យមនុស្សអាចនឹងគិតដល់។,57,1
287,នៅពាក់កណ្ដាលសតវត្សទី,20,1
288,១៩,2,2
289,ប្រាសាទនេះត្រូវបានទៅទស្សនាដោយធម្មជាតិវិទូ,41,1
290,និងអ្នករុករកជាតិបារាំង,22,1
291,អង់ហ៊្រី,8,2
292,មូហ៊ត,5,2
293,ដែលបានផ្សព្វផ្សាយដោយប្រជាជននូវស្ថានីយនេះនៅភាគខាងលិចតាមរយៈសាធារណកម្មនៃកំណត់ត្រាការធ្វើដំណើរ,90,1
294,នៅក្នុងអ្វីដែលលោកបានសរសេរ,25,1
295,មួយក្នុងចំណោមប្រាសាទទាំងនេះ,27,1
296,ជាគូប្រជែងទៅនឹងរបស់សុឡុម៉ុន,27,1
297,និងសាងឡើងដោយមីឆេលអ៊ែងជែលឡូ,26,1
298,ដែលចូលរួមជាកន្លែងកិត្តិយសមួយនៅក្បែរសំណង់ដ៏ស្រស់ស្អាត់បំផុតរបស់យើង។,66,1
299,ប្រាសាទនេះធំជាងរាល់សំណង់ដែលបានបន្សល់ទុកអោយពួកយើងដោយក្រិក,56,1
300,រឺ,2,13
301,រ៉ូម,4,1
302,ហើយបង្ហាញអោយឃើញភាពផ្ទុយស្រឡះដ៏ក្រៀមក្រំទៅនឹងសភាពនៃអនារ្យធម៌ដែលក្នុងនោះប្រទេសជាតិនេះឥឡូវ​ត្រូវបានលិចលង់ទៅហើយ។,108,1
303,លោកមូហ៊ត,8,1
304,ក៏ដូចជាពួកអ្នកទេសចរណ៍លោកខាងលិចដំបូងៗដែរ,39,1
305,បានគិតថាវាពិបាកនឹងជឿថាខ្មែរអាចសាងសង់ប្រាសាទនេះបាន,49,1
306,និងបានចុះកាលបរិច្ឆេទវាដោយច្រឡំទៅនឹងក្បែរៗសម័យមួយដូចគ្នាដូចរ៉ូម។,63,1
307,ប្រវត្តិពិតនៃអង្គរវត្តត្រូវបានទម្លុះទម្លាយរួមគ្នាដោយភស្តុតាងខាងរចនាបថនិងអភិលេខន៍តែប៉ុណ្ណោះ,90,1
308,ដែលបានប្រមូលបានកំឡុងការបោសសំអាតជាបន្តបន្ទាប់និងការស្ដារស្នាដៃឡើងវិញ,67,1
309,បានបន្តទូទាំងស្ថានីយអង្គរទាំងមូល។,33,1
310,គ្មានលំនៅដ្ឋាន,14,1
311,រឺ,2,13
312,ផ្ទះ,4,1
313,រឺ,2,13
314,សញ្ញានៃការតាំងលំនៅជាប្រក្រតីរួមជាមួយប្រដាប់ប្រដាចំអិនអាហារ,58,1
315,អាវុធ,5,1
316,រឺ,2,13
317,វត្ថុនៃការតុបតែងខ្លួនជាធម្មតាបានរកឃើញនៅស្ថានីយបុរាណនានាឡើយ។,59,1
318,ជំនួសវិញ,8,1
319,មានភស្តុតាងនៃបូជនីយដ្ឋាននានាខ្លួនឯងទៅវិញ។,41,1
320,អង្គរវត្តត្រូវការការស្ដារឡើងវិញច្រើននៅសតវត្សទី,46,1
321,២០,2,5
322,ជាសំខាន់ការយកដីរុំកោះនិងសារពើរុក្ខជាតិចេញ។,42,1
323,ការងារត្រូវបានអាក់ខានដោយសង្គ្រាមរដ្ឋប្បវេណី,43,1
324,និងការគ្រប់គ្រងប្រទេសដោយខ្មែរក្រហមកំឡុងទសវត្ស,45,1
325,១៩៧០,4,1
326,និង,3,44
327,១៩៨០,4,1
328,ប៉ុន្តែការបំផ្លិចបំផ្លាញតិចតួចដោយប្រៀបធៀបត្រូវបានធ្វើកំឡុងសម័យនោះ,65,1
329,ក្រៅពីនេះទៅមានពួកចោរ,20,1
330,និងការបំផ្លាញនូវរូបចម្លាក់សម័យក្រោយអង្គរភាគច្រើនទៀត។,52,1
331,ប្រាសាទនេះគឺជានិមិត្តរូបពោរពេញដោយថាមពលរបស់កម្ពុជា,49,1
332,និងជាប្រភពនៃមហាមោទនភាពជាតិដែលបានដាក់ជាកត្តាក្នុងទំនាក់ទំនងការទូតរបស់កម្ពុជាជាមួយបារាំង,86,1
333,សហរដ្ឋ,6,1
334,និងអ្នកជិតខាងរបស់ខ្លួន,22,1
335,ថៃ។,3,1
336,រូបគំនូរនៃអង្គរវត្តធ្លាប់ជាផ្នែកមួយនៃទង់ជាតិនានារបស់កម្ពុជាចាប់តាំងពីការដាក់បញ្ចូលនូវកំណែលើកទីមួយ,97,1
337,រង្វង់ឆ្នាំ,11,1
338,១៨៦៣,4,2
339,។,1,68
340,ដោយសារទស្សនៈវិស័យខាងប្រវត្តិសាស្ត្រកាន់តែធំ,43,1
341,និងបរិវត្តវប្បធម៌ថែមទៀត,23,1
342,យ៉ាងណាៗ,7,1
343,ប្រាសាទអង្គរវត្តនេះមិនបានក្លាយត្រឹមតែជានិមិត្តរូបនៃមោទនភាពជាតិផ្ទាល់ជាតិសាសន៍នោះទេ,82,1
344,ប៉ុន្តែក៏ត្រូវបានដាក់បញ្ចូលទៅក្នុងដំណើរការនយោបាយ,48,1
345,វប្បធម៌នៃផលិតកម្មកេរដំណែលបារាំង,31,1
346,អាណានិគម,8,1
347,ក្នុងនោះដែលទីស្ថានប្រាសាទដើមត្រូវបានតាំងបង្ហាញក្នុងពិព័ណអាណានិគមបារាំងនិងសកលនៅប៉ារីសនិងម៉ាខ់សីរវាងឆ្នាំ,103,1
348,១៨៨៩,4,1
349,និង,3,44
350,១៩៣៧,4,1
351,។,1,68
352,មរតកសិល្បៈដ៏រុងរឿងនៃអង្គរវត្តនិងបូជនីយដ្ឋានខ្មែរផ្សេងៗនៅតំបន់អង្គរបានដឹកនាំបារាំងដោយផ្ទាល់ទទួលយកកម្ពុជាជាអាណាព្យាបាលនៅថ្ងៃ,122,1
353,១១,2,2
354,សីហា,4,1
355,១៨៦៣,4,2
356,និងលុកលុយសៀមដើម្បីត្រួតត្រាលើវិកិណ្ណដ្ឋាននានា។,46,1
357,នេះបាននាំឱ្យកម្ពុជាភ្លាមៗអះអាងដែនដីនានាឡើងវិញនៅជ្រុងខាងលិចឆៀងខាងជើងនៃប្រទេសដែលស្ថិតនៅក្រោមការគ្រប់គ្រងរបស់សៀម,109,1
358,ថៃ,2,1
359,ចាប់តាំងពីឆ្នាំ,15,2
360,១៣៥១,4,1
361,នៃគ,3,1
362,ស,1,7
363,ម៉ានិច,6,1
364,ជុមសៃ,5,1
365,២០០១,4,2
366,រឺដោយរឿងរ៉ាវខ្លះៗ,17,1
367,១៤៣១,4,2
368,គ,1,10
369,ស,1,7
370,។,1,68
371,កម្ពុជាបានទទួលបានឯករាជ្យពីបារាំងនៅថ្ងៃ,38,1
372,៩,1,5
373,វិច្ឆិកា,8,1
374,១៩៥៣,4,1
375,និងបានគ្រប់គ្រងអង្គរវត្តចាប់តាំងពីពេលនោះមក។កំឡុងពេលនៅចំកណ្ដាលនៃសង្គ្រាមវៀតណាម,77,1
376,ព្រះប្រមុខរដ្ឋនរោត្តម,21,1
377,សីហនុបានទទួលចាក្លឹន,19,1
378,ខឹនន្ឌីនៅកម្ពុជាដើម្បីបំពេញក្ដីស្រមៃអស់មួយជីវិតរបស់លោកស្រីទៅមើលអង្គរវត្ត។,73,1
379,នៅក្នុងកុប្បកម្ម,16,1
380,មករា,4,1
381,២០០៣,4,1
382,បានផ្ទុះនៅភ្នំពេញ,17,1
383,ពេលដែលពាក្យចចាមអារ៉ាមមិនពិតទាល់តែសោះបានខ្ចរខ្ចាយថាតារាសម្ដែងស្រីសាច់រឿងល្ខោនថៃបានអះអាងថាអង្គរវត្តជារបស់ថៃ។,106,1
384,ប្រាសាទអង្គរមានកម្ពស់,21,1
385,៦៥,2,2
386,ម៉ែត្រ,6,6
387,មានក្រឡាផ្ទៃប្រហែល,18,1
388,២០០,3,2
389,ហិចតា,5,1
390,រាងចតុកោណ,9,1
