position,token,token_length,frequency
391,ដែលកំណត់ដោយកំពែងព័ទ្ធជុំវិញ,27,1
392,និង,3,44
393,គូទឹក,5,1
394,ដែលមានទទឹង,10,1
395,២០០,3,2
396,ម៉ែត្រ។,7,5
397,បរិវេណនៃកំពែង,13,1
398,គឺមានប្រវែងប្រហែល,17,1
399,៥,1,8
400,៥,1,8
401,គ,1,10
402,ម។,2,2
403,ផ្លូវចូលធ្វើអំពីថ្មភក់មានប្រវែងបណ្តោយ,37,1
404,២៥០,3,1
405,ម៉ែត្រ,6,6
406,និងទទឹង,7,1
407,១២,2,13
408,ម៉ែត្រ។,7,5
409,ដោយសារតែទំហំដ៏ធំ,16,1
410,និងស្ថាបត្យកម្មដ៏អស្ចារ្យនេះ,28,1
411,មានមនុស្សមួយចំនួនគិតថា,22,1
412,ប្រាសាទអង្គរវត្តមិនមែនជាស្នាដៃរបស់មនុស្សទេ,42,1
413,គឺជាស្នាដៃរបស់អាទិទេពពីព្រោះដោយសារប្រណីត។។នៅខាងមុខផ្លូវចូលមានតោថ្មធំៗ,69,1
414,ឈរយាមនៅអមសងខាងផ្លូវ។,20,1
415,នៅខាងចុងនៃផ្លូវចូលនោះ,21,1
416,មានគោបុរៈប្រាង្គបី,18,1
417,ដែលមានកម្ពស់ខុសគ្នា,19,1
418,ហើយប្រាង្គផ្នែកខាងលើត្រូវបានដួលរលំហើយ។,38,1
419,នៅគោបុរៈនោះ,11,1
420,មានថែវដែលមានកំពូលជាវូត។,23,1
421,បន្ទាប់ពី,9,1
422,គោបុរៈមកគឺមានផ្លូវមួយដែលមានប្រវែងបណ្តោយ,39,1
423,៣៥០,3,2
424,ម៉ែត្រ,6,6
425,និង,3,44
426,ទទឹង,4,1
427,៩,1,5
428,ម៉ែត្រ,6,6
429,ធ្វើពីថ្មភក់,12,1
430,និង,3,44
431,បង្កាន់ដៃនាគនៅអមសងខាង។,22,1
432,អង្គរវត្ត,9,4
433,តាំងនៅ,6,1
434,13,2,1
435,°,1,2
436,24,2,1
437,′,1,2
438,45,2,1
439,″N,2,1
440,103,3,1
441,°,1,2
442,52,2,1
443,′,1,2
444,0,1,1
445,″E,2,1
446,គឺជាការបន្សំតែមួយគត់នៃប្រាសាទភ្នំ,33,1
447,ការរចនាជាបទដ្ឋានសម្រាប់ពួកប្រាសាទសភាវៈតំណាងរបស់អធិរាជាណាចក្រនេះ,63,1
448,គ្រោងចុងក្រោយនៃថែវសហមជ្ឈមណ្ឌល,29,1
449,និងឥទ្ធិពលពីឱឌ៉ិឝានិងចោឡ៊រ៊,27,1
450,នៃទមិឡនាដុ,10,1
451,ឥណ្ឌា។,6,1
452,ប្រាសាទនេះគឺជាតំណាងនៃភ្នំព្រះសុមេរុ,35,1
453,លំនៅនៃពួកទេវៈ,13,1
454,ជួរចតុរង្គចំកណ្ដាលនៃប្រាង្គជាសញ្ញាសំគាល់កំពូលទាំងប្រាំនៃភ្នំ,60,1
455,ហើយជញ្ជាំងនិងគូទឹក,18,1
456,ជាជួរភ្នំព័ទ្ធជុំវិញ,20,1
457,និងមហាសមុទ្រ។,13,1
458,ច្រកចូលទៅកាន់តំបន់ខាងលើនៃប្រាសាទគឺកាន់តែដាច់ដោយឡែកជាលំដាប់,58,1
459,ជាមួយនឹងពួកគ្រហស្ថដែលកំពុងត្រូវបានគេអនុញ្ញាតឱ្យចូលនៅជាន់ទាបបំផុតតែប៉ុណ្ណោះ។,75,1
460,មិនដូចប្រាសាទខ្មែរភាគច្រើនទេ,28,1
461,អង្គរវត្តគឺបែរមុខទៅទិសខាងលិច,28,1
462,ផ្ទុយពីប្រាសាទផ្សេងបែរទៅទិសខាងកើត។,34,1
463,នេះបាននាំមកនូវហេតុជាច្រើន,25,1
464,រួមមានហ្គ្លេសហ្សឹ,17,1
465,និង,3,44
466,ហ្សក,4,1
467,សឺដេស,5,1
468,សន្និដ្ឋានថាព្រះបាទសូរ្យវរ្ម័នបានបម្រុងទុកវាសម្រាប់ជាប្រាសាទបញ្ចុះព្រះសពរបស់ទ្រង់។,82,1
469,ភស្តុតាងបន្ថែមទៀតចំពោះការមើលឃើញដូចនេះត្រូវបានផ្ដល់ដោយចម្លាក់លៀនស្រាលៗ,69,1
470,ដែលបានធ្វើតាមក្បួនក្នុងទិសដៅប្រឆាំងនឹងទក្ខិណាវដ្ដ,49,1
471,ប្រសវ្យៈជាយត្តសព្ទវិជ្ជាហិណ្ឌូ,30,1
472,ដូចនេះគឺជាការបញ្ច្រាសនៃរបៀបធម្មតា។,34,1
473,ក្បួនរីត៍ជាច្រើនប្រារព្ធក្នុងរបៀបបញ្ច្រាសកំឡុងសេវការបុណ្យសពព្រហ្មញ្ញ។,69,1
474,បុរាណវិទូ,9,1
475,ឆាលអឹស,6,1
476,ហាយអ៊ែមក៏បានពិពណ៌នានូវអ្វីនៅខាងក្នុងដែលប្រហែលជាក្រឡបញ្ចុះសពដែលត្រូវបានគេយកមកពីប្រាង្គប៉មកណ្ដាល។,95,1
477,វាត្រូវបានគេហៅដោយអ្នកខ្លះថាជាការចំណាយកម្លាំងច្រើនបំផុតលើសាកសពមួយដែលគេបោះបង់ចោល។,79,1
478,ហ៊្វ្រីម៉ឹន,11,1
479,និង,3,44
480,ចាខ,3,1
481,យ៉ាងណាក៏ដោយ,11,1
482,កត់សម្គាល់ថាប្រាសាទអង្គរផ្សេងៗជាច្រើនបែរមុខចេញពីទិសខាងកើតជាធម្មតា,65,1
483,និងផ្ដល់យោបល់ថាការបង្វែររបស់អង្គរវត្តគឺដោយសារតែការឧទ្ទិសរបស់ប្រាសាទដល់ព្រះវិស្ណុ,80,1
484,ដែលព្រះអង្គរាប់អាននឹងទិសខាងលិច។,31,1
485,ការបកស្រាយបន្ថែមអំពីអង្គរវត្តត្រូវបានស្នើដោយអិលឡឹណឺរ,52,1
486,មែនិកា។,7,1
487,ដោយទាញយកការបង្វែរទិសនិងទំហំខ្នាតរបស់ប្រាសាទនេះ,46,1
488,ហើយនិងនៅលើភាគខាងក្នុងនិងការរៀបចំនៃចម្លាក់លៀនស្រាលៗ,50,1
489,គាត់លើកឡើងថារចនាសម្ព័ន្ធសំណង់បង្ហាញនូវសករាជថ្មីនៃសន្តិភាពដែលបានប្រកាសក្រោមរាជព្រះបាទសូរ្យវរ្ម័នទី,97,1
490,២,1,20
491,ជារង្វាស់នៃវដ្តកាលសុរិយគតិ,26,1
492,និងចន្ទគតិត្រូវបានសាងជាលំហពិសិដ្ឋនៃអង្គរវត្ត,44,1
493,អាណត្តិទេពនេះដើម្បីដឹកនាំត្រូវបានពឹងទៅលើមន្ទីរនិងសាលស័ក្ដសិទ្ធ,62,1
494,ដែលក្នុងន័យចងចាំនូវអំណាចរបស់ព្រះរាជា,36,1
495,និងដើម្បីគោរពដល់និងធ្វើឱ្យស្ងប់ព្រះទ័យពួកទេវៈដែលគង់នៅស្ថានលើ។,61,1
496,ការលើកឡើងរបស់មែនិកាត្រូវបានទទួលយកជាមួយការលាយឡំគ្នានៃចំណាប់អារម្មណ៍និងសង្ស័យនិយមក្នុងរង្វង់បណ្ឌិតសភា។,100,1
497,គាត់ដាក់ខ្លួនឯងអោយនៅឆ្ងាយពីបរិកប្បកម្មនៃអ្នកដទៃ,47,1
498,ដូចជាហ្គ្រេម,12,1
499,ហ៊ែងខខ់,7,1
500,ថាអង្គរវត្តគឺជាផ្នែកនៃតំណាងតារានិករមករ។,39,1
501,អង្គរវត្តជាគំរូដំបូងនៃរចនាបថបុរាណនៃស្ថាបត្យកម្មខ្មែរ,52,1
502,រចនាបថអង្គរវត្ត,15,1
503,ដែលវាបានដាក់ឈ្មោះតាមប្រាសាទនេះ។,31,1
504,នៅសតវត្សទី,10,1
505,១២,2,13
506,ពួកស្ថាបត្យករខ្មែរធ្លាប់មានជំនាញនិងទំនុកចិត្តក្នុងការប្រើប្រាស់ថ្មភក់,69,1
507,ផ្ទុយពីឥដ្ឋ,11,1
508,រឺ,2,13
509,ថ្មបាយក្រៀម,11,1
510,សម្ភារៈសាងសង់សំខាន់។,20,1
511,ភាគច្រើនទីដែលមើលឃើញគឺជាដុំថ្មភក់,32,1
512,ដែលពេលនោះថ្មបាយក្រៀមត្រូវបានប្រើសម្រាប់កំពែងខាងក្រៅនិងសម្រាប់ផ្នែកខ្លះនៃរចនាសម្ព័ន្ធសំណង់ដែលបានលាក់កំបាំង។,106,1
513,ភ្នាក់ងារដែលរុំភ្ជាប់បានប្រើប្រាស់ដើម្បីចូលរួមទៅជាដុំៗតែមិនទាន់ត្រូវបានគេដឹងនៅឡើយ,81,1
514,ថ្វីបើជ័រឈើធម្មជាតិ,19,1
515,រឺ,2,13
516,កំបោរប្រេងត្រូវបានគេលើកឡើងក៏ដោយ។,32,1
517,អង្គរវត្តទាញបានការកោតសរសើរលើសគេបង្អស់ចំពោះភាពស៊ីគ្នានៃការរចនាផ្ទាល់ខ្លួន,72,1
518,ដែលត្រូវបានគេប្រៀបធៀបនឹងស្ថាបត្យកម្មនៃក្រិកនិងរ៉ូមបុរាណ។,56,1
519,តាមរយៈលោកម៉ូហ៊្រីស,18,1
520,ហ្គ្លេសហ្សឹ,11,1
521,អ្នកអភិរក្សអង្គរពាក់កណ្ដាលសតវត្សទី,34,1
522,២០,2,5
523,ប្រាសាទនេះ,10,1
524,សម្រេចបានភាពល្អឥតខ្ចោះតាមបែបបុរាណដោយសារបូជនីយដ្ឋានភាពដែលបានបង្អាក់នូវធាតុនឹងនរយ៉ាងល្អវិចិត្រនិងការរៀបចំយ៉ាងត្រឹមត្រូវនៃខ្នាតទំហំរបស់ប្រាសាទ។,140,1
525,វាគឺជាកិច្ចការងារនៃអំណាច,24,1
526,ឯកភាព,5,1
527,និងរចនាបថ។,10,1
528,តាមស្ថាបត្យកម្ម,15,1
529,ចរិកលក្ខណៈធាតុជាច្រើននៃរចនាបថនេះរួមមាន,38,1
530,ប្រាង្គប៉មរាងក្បាលទូក,21,1
531,បុនទន្តដែលមានរាងដូចជាត្របកឈូកច្រើន,34,1
532,កន្លះ,5,1
533,ថែវពង្រីកផ្លូវរបៀង,18,1
534,ថែវអ័ក្សភ្ជាប់ទៅនឹងរបងព័ទ្ធជុំវិញ,33,1
535,និងលានរាងកាកបាទដែលលេចឡើងតាមបណ្ដោយអ័ក្សធំនៃប្រាសាទ។,50,1
536,ធាតុផ្សំតុបតែងជាធម្មតាគឺទេវតា,29,1
537,រឺ,2,13
538,អប្សរា,6,1
539,ចម្លាក់លៀនស្រាលៗ,16,1
540,និងនៅលើកម្រងផ្កាភ្ញីធំសន្ធឹងរបស់ហោជាង,37,1
541,និងឈុតឆាកនិទានកថា។,18,1
542,រូបចម្លាក់បដិមានៃអង្គរវត្តត្រូវបានចាត់ចែងទុកអភិរក្ស,51,1
543,កំពុងតែនៅដដែលនិងមិនសូវមាំមួនជាងស្នាដៃដើមដំបូងឡើយ។,49,1
544,ធាតុសំខាន់ផ្សេងទៀតនៃការរចនាត្រូវបានគេបំផ្លិចបំផ្លាញដោយការលួចឆក់ប្លន់និងការកន្លងទៅនៃពេលវេលា,90,1
545,រួមមានការបូកពាសស្រោបមាសលើប៉មប្រាង្គ,35,1
546,ដោយការស្រោបមាសលើរូបចម្លាក់លើចម្លាក់លៀនស្រាលៗ,44,1
547,និងបន្ទះពិតានឈើនិងទ្វារនានា។,28,1
548,រចនាបថអង្គរវត្តត្រូវបានតោងបន្តដោយសម័យបាយ័ន,42,1
549,នៅក្នុងនោះដែលគុណភាពត្រូវបានបូជាយញ្ញជាញឹកញាប់ទៅដល់បរិមាណ។,56,1
550,ប្រាសាទដទៃទៀតស្ថិតក្នុងរចនាបថនេះគឺ,34,1
551,បន្ទាយសំរែ,10,1
552,ធម្មនន្ទ,8,1
553,ចៅសាយទេវតា,10,1
554,និងប្រាសាទដំបូងក្នុងនោះព្រះពិធូរ,32,1
555,នៅអង្គរ,7,1
556,ខាងក្រៅអង្គរ,12,1
557,បឹងមាលា,7,1
558,និងភាគខ្លះនៃភ្នំរុងនិងពិមាយ។,28,1
559,តាមការសន្និដ្ឋានរបស់អ្នកស្រាវជ្រាវ,34,1
560,ប្រាសាទអង្គរវត្ត,16,6
561,ប្រើកម្លាំងពលកម្មប្រម៉ាណជាង,27,1
562,30,2,1
563,មុឺននាក់,8,1
564,និង,3,44
565,ដំរី,4,1
566,ជាង,3,1
567,6,1,1
568,ពាន់ក្បាល,9,1
569,និងប្រើប្រាស់ថ្ម,16,1
570,សរុបប្រមាណជាង,13,1
571,10,2,1
572,លានតោន,6,2
573,នៅក្នុងទំហំ,11,1
574,ខ្នាត,5,1
575,និង,3,44
576,ភាពស៊ីមេទ្រី,12,1
577,ឡើងដល់កំពូល,11,1
578,ដែលត្រូវបាន,11,1
579,គេជឿថាជាប្រាសាទសាសនា,20,1
580,ដ៏ធំបំផុត,9,1
581,របស់ពិភពលោក។,12,1
582,អង្គរវត្តជាប់ជាស្ថាបត្យកម្មកំពូលក្នុងលោក,40,1
583,ប្រាសាទដែលបង្រួមឧបទ្វីបទាំងអស់បញ្ជូលគ្នា។,41,1
584,រៀងរាល់ថ្ងៃទី,13,1
585,21,2,1
586,22,2,2
587,ខែមីនា,6,1
588,និងថ្ងៃទី,9,1
589,22,2,2
590,23,2,1
591,ខែកញ្ញា,7,1
592,គឺព្រះអាទិត្យរះនិងលិចចំកណ្តាលកំពូលប្រាសាទអង្គរវត្តដែលចែករយៈពេល,62,1
593,យប់,3,1
594,និង,3,44
595,ថ្ងៃ,4,3
596,ស្មើគ្នា,8,1
597,សមរាត្រី,8,1
598,គ្រប់អ័ក្សនៃប៉មរបស់ប្រាសាទ,26,1
599,គឺកើតចេញពីរង្វង់មូលដែល,22,1
600,តំណាងឲ្យហ្វូងតារា,17,1
601,ត្រាគោ,6,1
602,Draco,5,1
603,កញ្ជុំសកលដែលមានអាយុកាល,22,1
604,2,1,3
605,លានឆ្នាំ,8,1
606,ដែលមានចម្ងាយពីផែនដី,19,1
607,19,2,1
608,ទ្រីលានគីឡូម៉ែត្រ,17,1
609,ដោយស្មើនិងរវង្វាស់កាំរស្មីព្រះអាទិត្យ,37,1
610,2,1,3
611,ឆ្នាំពន្លឺ,10,1
612,។,1,68
613,ប្រាសាទអង្គរវត្តមាន,19,1
614,រាងឆ្លុះអ័ក្ស,13,1
615,3,1,3
616,ជាន់ជាប់ៗគ្នាបើធៀបនឹងផ្ទៃទឹកបារាយ,33,1
617,បច្ចុប្បន្នបារាយខាងកើតត្រូវបានរីងស្ងួត,38,1
618,អ័ក្សទាំង,9,1
619,3,1,3
620,ប្រៀបដូចជា,10,1
621,រាងផ្កាយរណបដែលសំយោគយកថាមពលព្រះអាទិត្យដែលបានបាញ់បង្ហោះនៅពេលបច្ចុប្បន្ន។,70,1
622,គ្រឹះប្រាសាទធ្វើអំពីដីខ្សាច់,28,1
623,ដែលពឹងលើគូទឹកដែលព័ទ្ធជុំវិញប្រាសាទទាំងស្រុង។,44,1
624,គ្រប់ប៉មនៃអង្គរវត្តជាចំនុចដែលបង្កើតរាងជាសត្វអណ្ដើកដែលទាក់ទងនិងរឿងកូរសមុទ្រទឹកដោះ,80,1
625,ឬ,1,3
626,កូរសមុទ្រចក្រវាឡ,16,1
627,។​,2,1
628,អង្គរវត្ត,9,4
629,ស្ថិតនឹងខ្សែអ័ក្សទី,19,1
630,7,1,1
631,នៃរយៈទទឹងរបស់ផែនដីដែលខ្សែរនោះជាន់គ្នាជាមួយនឹង,45,1
632,ប្រាសាទពីរ៉ាមីត,15,1
633,ជីហ្សា,6,1
634,របស់អេសុីប,10,1
635,ប្រាង្គឆីកឈេនអុីតសា,19,1
636,របស់មុិចសុិច,12,1
637,និងចុងក្រោយជាមួយរូបសំណាកមនុស្សបុរេប្រវត្តិ,42,1
638,របស់ឈីលី,8,1
639,។,1,68
640,អង្គរវត្តមានលក្ខណៈពិសេសមួយគឺប្រែពណ៌ពីសំរិទ្ធទៅប្រាក់,52,1
641,ពីប្រាក់មកមាស,13,1
642,ទៅតាមពេលវេលាមួយទៀងទាត់,22,1
643,ព្រឹក,5,1
644,ថ្ងៃ,4,3
645,និង,3,44
646,រសៀល។,5,1
647,អង្គរវត្តមានរូបភាពលាក់បង្កប់ច្រើនជាង,36,1
648,200,3,1
649,ផ្ទាំងដែលមិនអាចមើលដឹងដោយភ្នែកទទេបាន,35,1
650,ត្រូវជំនួយដោយបច្ចេកវិទ្យា,25,1
651,Scan,4,1
652,Effect,6,1
653,អ្នកស្រាវជ្រាវបានឲ្យដឹងទៀតថា,28,1
654,ប្រាសាទអង្គរវត្ត,16,6
655,មានតម្លៃទាំងផ្នែកបញ្ញា,22,1
656,ផ្នែកស្ថាបត្យកម្មនិងសម្បត្តិវប្បធម៌។,36,1
657,អង្គរវត្តជាស្ថាបត្យកម្មបានទទួលការគណនានិងធ្វើឡើងយ៉ាងសុក្រឹត្យបំផុតនៅលើពិភពលោក។,77,1
658,ក្រុមអ្នកស្រាវជ្រាវនៅតែចោទជាសំនួរទៅកាន់ប្រាសាទដ៏អស្ចារ្យក្នុងលោកនេះ។,68,1
659,កំពែងខាងក្រៅ,12,1
660,១០២៤,4,1
661,គុណនឹង,6,2
662,៨០២,3,4
663,ម,1,14
664,និង,3,44
665,កំពស់,5,1
666,៤,1,2
667,៥,1,8
668,ម,1,14
669,ព័ទ្ធជុំវិញដោយលាននៃធ្លាបើក,26,1
670,៣០,2,2
671,ម,1,14
672,និងគូទឹកមួយបណ្ដោយ,17,1
673,១៩០,3,1
674,ម។,2,2
675,ច្រកចូលទៅប្រាសាទនេះគឺនៅក្បែរច្រាំងដីនៅខាងកើតនិងផ្លូវកាត់ទឹកធ្វើពីថ្មភក់ទៅខាងលិច,79,1
676,នៅខាងចុង,8,1
677,ច្រកចូលធំ,9,1
678,គឺជាការបន្ថែមចុងក្រោយ,21,1
679,ប្រហែលជាជំនួសឲ្យស្ពានឈើ។,24,1
680,មាន,3,1
681,គោបុរៈជាច្រើន,13,1
682,នៅគ្រប់ទិសធំៗ,13,1
683,ខាងលិចនៅឆ្ងាយពីអាធំជាងគេបង្អស់ហើយនិងមានប៉មប្រាង្គបាក់បែកបី។,59,1
684,លោកហ្គ្លេសហ្សឹកត់សម្គាល់ថាគោបុរៈនេះទាំងលាក់កំបាំងនិងចំណាំងឱ្យទ្រង់ទ្រាយប្រាសាទនេះសមរម្យ។,88,1
685,ខាងក្រោមប្រាង្គខាងត្បូងមានរូបចម្លាក់ព្រះវិស្ណុមួយអង្គ,53,1
686,ដែលគេស្គាល់ថា,13,1
687,តារាជ,5,1
688,ដែលប្រហែលដើមឡើយបានស្ថិតនៅកន្លែងសក្ការៈបូជាកណ្ដាលនៃប្រាសាទ។,58,1
689,ថែវជាច្រើនរត់នៅចន្លោះប្រាង្គនានានិងឆ្ងាយរហូតដល់ច្រកចូលពីរថែមទៀតនៅខាងណាមួយនៃគោបុរៈជារឿយៗចាត់ទុកថាជាច្រកដំរី,106,1
690,តាមដែលច្រកនោះមានទំហំល្មមដើម្បីអោយសត្វទាំងនោះចូលបាន។,51,1
691,ថែវទាំងនេះមានសសរបួនជ្រុងនៅខាងក្រៅ,33,1
692,ខាងលិច,6,1
693,និងជញ្ជាំងបិទជិតនៅខាងក្នុង,26,1
694,ខាងកើត,6,1
695,។,1,68
696,ពិតានចន្លោះសសរទាំងនោះតុបតែងដោយត្របកឈូក,38,1
697,ផ្ទៃនៃជញ្ជាំងខាងលិចមានរូបចម្លាក់រេរាំ,37,1
698,និងផ្ទៃជញ្ជាំងខាងកើតមានបង្អួចមានជើងទៀន,38,1
699,រូបចម្លាក់ប្រុសកំពុងតែរេរាំលើសត្វដែលកំពុងលោតកញ្ឆេង,50,1
700,ហើយនិងអប្សរា,12,1
701,ដែលរួមមាន,9,1
702,ខាងត្បូងនៃច្រកចូល,17,1
703,តែមួយក្នុងប្រាសាទនេះកំពុងតែបង្ហាញធ្មេញរបស់នាង។,46,1
704,កំពែងខាងក្រៅព័ទ្ធជុំវិញបរិវេណ,29,1
705,៨២០០០០,6,1
706,មាត្រការ៉េ,10,1
707,២០៣,3,1
708,អេកឺរ,5,1
709,ដែលម្យ៉ាងទៀតប្រាសាទកណ្ដាលត្រូវបានកាន់កាប់ដោយទីក្រុងនេះតាំងពីដើម,63,1
710,និងនៅខាងជើងប្រាសាទនេះ,21,1
711,គឺព្រះបរមរាជវាំង។,17,1
712,ដូចសំណង់មិនទាក់ទងសាសនាទាំងអស់នៃអង្គរ,36,1
713,ដែលទាំងនោះត្រូវបានសាងសង់ឡើងដោយសម្ភារៈដែលអាចខូចបានខុសពីថ្ម,57,1
714,ដូច្នេះគ្មានអ្វីសេសសល់ក្នុងចំណោមនោះទេលើកលែងតែគ្រោងខ្សែក្រៅនៃផ្លូវខ្លះៗ។,71,1
715,ភាគច្រើនបំផុតនៃតំបន់មួយនេះឥឡូវត្រូវបានគ្របដណ្ដប់ដោយព្រៃឈើ។,58,1
716,ផ្លូវឆ្លងកាត់ទឹក,16,1
717,៣៥០,3,2
718,ម,1,14
719,មួយភ្ជាប់ទៅគោបុរៈខាងលិចទៅកាន់ប្រាសាទកណ្ដាល,42,1
720,ដែលមានបង្កាន់ដៃនាគ,18,1
721,និងកាំជណ្ដើរប្រាំមួយខ្សែនាំចុះទៅកាន់បុរីនៅខាងម្ខាងណាមួយ។,56,1
722,ចំហៀងនីមួយៗក៏បង្ហាញឡើងនូវបណ្ណាល័យមួយដែលមានច្រកចូលមួយចំនួននៅក្នុងចំណុចសំខាន់នីមួយៗ,81,1
723,នៅចំពីមុខនៃកាំជណ្ដើរខ្សែទីបីពីច្រកចូល,37,1
724,និងស្រះមួយនៅចន្លោះបណ្ណាល័យនិងប្រាសាទនេះ។,40,1
725,ស្រះជាច្រើនគឺជាការបន្ថែមក្រោយៗចំពោះការរចនា,42,1
726,ដូចជាលានរាងកាកបាទដែលបានយាមដោយតោភ្ជាប់ទៅនឹងច្រកឆ្លងកាត់ទឹកទៅរចនាសម្ព័ន្ធសំណង់កណ្ដាល។,83,1
727,ប្រាសាទនេះតាំងនៅលើលានមួយដែលបានលើកខ្ពស់ជាងបុរីនេះ។,49,1
728,វាត្រូវបានបង្កើតឡើងដោយថែវចតុកោណកែងបីងើបឡើងដល់ប្រាង្គកណ្ដាល,58,1
729,កំពស់នីមួយៗខ្ពស់ជាងប្រាង្គមួយចុងក្រោយគេ។,40,1
730,មែនិកាបកស្រាយថែវទាំងនេះថាជាការបូជាទៅដល់ព្រះមហាក្សត្រ,52,1
731,ព្រះព្រហ្ម,10,1
732,ព្រះចន្ទ,8,1
733,និងព្រះវិស្ណុ។,14,1
734,ថែវនីមួយៗមានគោបុរៈមួយនៅចំណុចនីមួយៗ,34,1
735,ហើយនិងថែវខាងក្នុងពីរមានប្រាង្គនៅកាច់ជ្រុងរបស់ខ្លួន,50,1
736,ដែលបង្កើតឡើងនូវជួរចតុរង្គដែលមានប្រាង្គនៅចំកណ្ដាល។ពីព្រោះតែប្រាសាទបែរមុខទៅទិសខាងលិច,82,1
737,លក្ខណៈពិសេសទាំងអស់បានកំណត់បែរឆ្ពោះទៅខាងកើត,42,1
738,ដែលបន្សល់ទុកទីលំហបន្ថែមទៀតដែលត្រូវបានបំពេញនៅក្នុងវាំងចំណារនីមួយនិងថែវនៅចំហៀងខាងលិច,82,1
739,ចំពោះហេតុផលដដែលកាំជណ្ដើរបែរមុខទៅខាងលិចរាក់ជាងកន្លែងផ្សេងនៅខាងផ្សេងៗទៀត។,71,1
740,ថែវខាងក្រៅនេះ,13,1
741,១៨៧,3,1
742,គុណ,3,1
743,២១៥,3,1
744,ម,1,14
745,ជាមួយសាលាសំណាក់ខុសពីប្រាង្គនានានៅកាច់ជ្រុង។,43,1
746,ថែវនេះចំហទៅខាងក្រៅនៃប្រាសាទ,27,1
747,ដែលមានកន្លះ,11,1
748,ថែវច្រើនមានសសរលាតសន្ធឹងនិងជន្ទល់សំណង់នេះ។,41,1
749,ភ្ជាប់ទៅនឹងថែវខាងក្រៅទៅកាន់វាំងចំណារទីពីរលើចំហៀងខាងលិចគឺជារបៀងរាងកាកបាទហៅថា,75,1
750,ព្រះពាន់,8,1
751,សាល,3,1
752,។,1,68
753,ពុទ្ធបដិមាធ្លាប់នៅខាងឆ្វេងនៅក្នុងរបៀងនោះដោយពួកអ្នកធម្មយាត្រាអស់ជាងច្រើនសតវត្ស,77,1
754,ទោះបីភាគច្រើនឥឡូវត្រូវបានដកចេញក៏ដោយ។,36,1
